hours_coding_daily,preferred_language,typing_speed,import_usage,oop_usage,level
4,Python,48,Yes,Yes,Intermediate
5,C++,62,Yes,Yes,Intermediate
3,Java,33,Yes,No,Intermediate
3,C++,38,Yes,No,Intermediate
3,Java,34,Yes,No,Intermediate
1,Python,20,No,No,Intermediate
3,Python,40,Yes,No,Intermediate
3,Python,40,Yes,No,Intermediate
3.5,Java,32,Yes,No,Intermediate
4,Java,48,No,Yes,Intermediate
5,Python,59,Yes,Yes,Intermediate
4.5,Java,31,No,No,Intermediate
5,Python,58,Yes,Yes,Intermediate
3.5,Python,40,No,Yes,Intermediate
2.5,Python,35,No,Yes,Intermediate
3.5,Java,47,Yes,Yes,Intermediate
3,Java,34,Yes,No,Intermediate
2,C++,28,No,No,Intermediate
3.5,Java,34,Yes,No,Intermediate
4,C++,28,No,Yes,Intermediate
3.5,Java,34,Yes,Yes,Intermediate
4,C++,28,No,No,Intermediate
4,Java,48,No,Yes,Intermediate
4.5,Python,59,Yes,Yes,Intermediate
4.5,Java,31,No,No,Intermediate
4.5,Python,58,Yes,Yes,Intermediate
3,Python,40,No,Yes,Intermediate
2.5,Python,35,No,Yes,Intermediate
3,Java,47,Yes,Yes,Intermediate
2.5,Java,31,Yes,No,Intermediate
2.5,C++,39,Yes,No,Intermediate
3,Java,40,Yes,No,Intermediate
3.5,Python,31,Yes,No,Intermediate
3,C++,40,Yes,No,Intermediate
3,Python,37,Yes,No,Intermediate
3.5,C++,40,Yes,No,Intermediate
2,Java,20,No,No,Intermediate
2.5,C++,40,No,No,Intermediate
4,Python,48,Yes,Yes,Intermediate
5,C++,34,Yes,Yes,Intermediate
3.5,Java,45,Yes,No,Intermediate
3,C++,38,Yes,No,Intermediate
